epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,7208.28,0.69765,0.44106,0.99873,0.73064,0.64241,0.66927,0.44772,0.96818,0.60759,1.20295,0.004555,0.004555,0.004555
112,7272.61,0.69672,0.44001,1.00081,0.75422,0.63848,0.66984,0.44884,0.96837,0.60822,1.2031,0.0045055,0.0045055,0.0045055
113,7336.92,0.6926,0.43804,0.99705,0.76354,0.6248,0.66748,0.44706,0.96765,0.61003,1.20345,0.004456,0.004456,0.004456
114,7401.27,0.69032,0.43488,0.99467,0.76235,0.62367,0.66475,0.44723,0.96812,0.61188,1.20349,0.0044065,0.0044065,0.0044065
115,7465.5,0.68908,0.43359,0.9932,0.7798,0.61773,0.66504,0.44728,0.96835,0.61082,1.20347,0.004357,0.004357,0.004357
116,7529.68,0.68606,0.43241,0.99496,0.76718,0.61897,0.66481,0.44672,0.96981,0.61233,1.20501,0.0043075,0.0043075,0.0043075
117,7593.94,0.68579,0.42993,0.99247,0.7845,0.61602,0.66433,0.44711,0.97036,0.61219,1.20663,0.004258,0.004258,0.004258
118,7658.38,0.68215,0.42867,0.99417,0.77592,0.61537,0.66629,0.4481,0.97063,0.61394,1.20873,0.0042085,0.0042085,0.0042085
119,7722.59,inf,0.4247,0.99067,0.77147,0.61772,0.66399,0.44748,0.96909,0.61199,1.20933,0.004159,0.004159,0.004159
120,7787.04,0.67591,0.42333,0.98954,0.74392,0.63054,0.66545,0.44792,0.96845,0.6098,1.20836,0.0041095,0.0041095,0.0041095
121,7851.54,0.67447,0.42205,0.98442,0.75994,0.62316,0.66683,0.44878,0.9683,0.60947,1.20758,0.00406,0.00406,0.00406
122,7915.92,0.67506,0.42385,0.98771,0.73974,0.631,0.66864,0.44898,0.96882,0.60984,1.20818,0.0040105,0.0040105,0.0040105
123,7980.21,0.6676,0.41999,0.98567,0.75856,0.62882,0.66762,0.44956,0.96868,0.60821,1.21034,0.003961,0.003961,0.003961
124,8044.62,0.6689,0.41611,0.98401,0.75985,0.62459,0.66505,0.44881,0.96999,0.60933,1.212,0.0039115,0.0039115,0.0039115
125,8109.01,0.6667,0.4159,0.98451,0.77072,0.62232,0.66501,0.44708,0.96988,0.60994,1.21247,0.003862,0.003862,0.003862
126,8173.68,0.66623,0.41817,0.98383,0.74479,0.63552,0.66559,0.44871,0.96984,0.61209,1.21243,0.0038125,0.0038125,0.0038125
127,8238.02,0.65819,0.41065,0.97939,0.73882,0.63531,0.66526,0.44874,0.97056,0.61377,1.21288,0.003763,0.003763,0.003763
128,8302.33,0.65789,0.4124,0.98355,0.75634,0.62514,0.66583,0.44893,0.97157,0.61639,1.21467,0.0037135,0.0037135,0.0037135
129,8366.7,0.6588,0.40924,0.9814,0.7566,0.62672,0.6644,0.44806,0.97073,0.61676,1.2153,0.003664,0.003664,0.003664
130,8431.24,0.65335,0.40776,0.97972,0.75881,0.62495,0.66478,0.44883,0.97128,0.61661,1.21585,0.0036145,0.0036145,0.0036145
131,8495.53,0.65159,0.40714,0.97733,0.76286,0.62654,0.66487,0.44898,0.97206,0.61733,1.21647,0.003565,0.003565,0.003565
132,8560.02,0.64997,0.40599,0.9758,0.77078,0.6184,0.66354,0.44931,0.9713,0.61735,1.21669,0.0035155,0.0035155,0.0035155
133,8624.34,0.64684,0.40276,0.97676,0.77169,0.61804,0.66286,0.44862,0.9722,0.61968,1.21867,0.003466,0.003466,0.003466
134,8688.82,0.64655,0.40163,0.97391,0.76173,0.62051,0.66247,0.44775,0.97211,0.62062,1.21841,0.0034165,0.0034165,0.0034165
135,8753.09,0.64584,0.40102,0.97349,0.76859,0.61664,0.66219,0.44787,0.97272,0.62186,1.21853,0.003367,0.003367,0.003367
136,8817.36,0.63897,0.3965,0.97055,0.76235,0.61799,0.66225,0.44767,0.97397,0.62353,1.22,0.0033175,0.0033175,0.0033175
137,8881.71,0.64237,0.39946,0.97342,0.75862,0.62419,0.66437,0.44714,0.97448,0.62472,1.2206,0.003268,0.003268,0.003268
138,8946.04,0.63737,0.39487,0.97251,0.74764,0.62912,0.66311,0.44612,0.97508,0.62445,1.22134,0.0032185,0.0032185,0.0032185
139,9010.41,0.63331,0.39385,0.97229,0.7441,0.63163,0.66105,0.44568,0.97594,0.62421,1.22239,0.003169,0.003169,0.003169
140,9074.77,0.63256,0.39346,0.9702,0.74506,0.63049,0.66111,0.44534,0.97639,0.62491,1.22389,0.0031195,0.0031195,0.0031195
141,9139.07,0.63019,0.38953,0.96482,0.74703,0.63385,0.66097,0.44553,0.97695,0.62699,1.22489,0.00307,0.00307,0.00307
142,9203.41,0.62684,0.38918,0.96595,0.75655,0.62917,0.65993,0.44553,0.97708,0.62802,1.22539,0.0030205,0.0030205,0.0030205
143,9267.73,0.62198,0.38506,0.96508,0.74768,0.63363,0.65997,0.44485,0.97736,0.62918,1.2258,0.002971,0.002971,0.002971
144,9332.06,0.62425,0.38527,0.96502,0.74669,0.63338,0.66046,0.44453,0.97715,0.62834,1.22609,0.0029215,0.0029215,0.0029215
145,9396.45,0.6213,0.38607,0.96039,0.75986,0.62531,0.66062,0.44479,0.97758,0.62728,1.22668,0.002872,0.002872,0.002872
